gene	log2FoldChange
CG32603	-5.591494289
CG32551	-5.583955855
Obp56g	-5.431500955
CG13033	-4.436248307
CG14277	-4.377052148
CR44509	-4.299989194
CG14419	-4.059814667
sna	-3.999094535
CG3088	-3.996190952
Obp19b	-3.967661145
BG642163	-3.64681803
CG13044	-3.639441518
CG8343	-3.586629348
CR45188	-3.571801315
mus301	-3.558638233
Ebp	-3.531419725
CR44994	-3.514635876
CG7829	-3.497735023
CheA7a	-3.381397424
CG12158	-3.347526928
RacGAP84C	-3.322841383
TpnC4	-3.296128646
CG7300	-3.20619725
Ccp84Ab	-3.158915704
CG6290	-3.154662565
CG15282	-3.130550672
snoRNA:U29:54Ed	-3.119080894
CG9676	-3.061474501
Acp53Ea	-3.046991954
CG12861	-2.906976189
CG13159	-2.892383558
CG15617	-2.892383558
CG8701	-2.892361168
CG32581	-2.878002099
CG11313	-2.851732848
CG40298	-2.827633447
Jon99Fi	-2.822615928
CG43333	-2.822615928
CG9757	-2.806395454
CG3085	-2.797328054
CG8329	-2.79655465
y	-2.780941031
CG12483	-2.780889385
Obp56e	-2.753443346
Eh	-2.741310204
CG34165	-2.674109589
CG7299	-2.628271634
fln	-2.585014047
CG32523	-2.53943619
CG14147	-2.538058066
CG9759	-2.500789437
Lcp65Ac	-2.466116402
Osi12	-2.445591934
CG34327	-2.383011098
CG42269	-2.380391988
CG42395	-2.36606753
EbpII	-2.350822815
sowi	-2.331434443
CG9458	-2.331434443
CG9920	-2.310543889
CG43841	-2.288340999
CG14607	-2.284740106
CG12522	-2.26375763
NimC4	-2.247572766
CG16884	-2.201087332
CG13488	-2.193483676
CheA87a	-2.127844752
CG10591	-2.126624888
CG13428	-2.120194269
Acp98AB	-2.119380966
CheA75a	-2.096589691
CG13041	-2.089937547
Ppi1	-2.089937547
Mst87F	-2.08564269
CR45382	-2.076500048
otu	-2.072317333
CG14298	-2.058922684
CG30033	-2.054564847
Rtnl2	-2.053719056
snoRNA:Psi28S-1153	-2.002179114
ppk20	-2.001822879
CG13643	-1.912053136
Sfp33A3	-1.907285619
CG14309	-1.907285619
ocn	-1.907285619
snoRNA:Me28S-G2703c	-1.889976232
CG9519	-1.888300874
CR44067	-1.855683063
Obp49a	-1.852911613
CG13043	-1.852541397
CG13545	-1.848236317
CG5142	-1.841650641
Cdc6	-1.836344871
CheB53a	-1.816652813
Vm26Aa	-1.814094505
CG16885	-1.813152345
snoRNA:Or-CD2	-1.804991823
CR45121	-1.801977855
CG34107	-1.795843707
Sfp65A	-1.795777034
CG4691	-1.795777034
CG15022	-1.795777034
CR44389	-1.795777034
CG15721	-1.788886053
CR43890	-1.777267018
loopin-1	-1.757841771
Nek2	-1.715623494
CG31626	-1.710947646
Or2a	-1.708762062
CG8501	-1.690406488
Nplp4	-1.689297884
WRNexo	-1.667569708
CG17377	-1.664831073
CG42694	-1.638812101
psd	-1.627937294
mir-2279	-1.607509399
DNApol-alpha60	-1.597849216
CR44230	-1.57324108
Art2	-1.572682813
phu	-1.557132678
CG43244	-1.550883513
slx1	-1.547998571
CG18540	-1.545732102
CR44889	-1.533182797
CG15864	-1.530135374
CG43332	-1.520758596
CG15475	-1.495503383
Uhg8	-1.488133108
CG2127	-1.484039642
CR13130	-1.471091731
CR45673	-1.470209034
CR32661	-1.470166752
