gene	log2FoldChange
psd	-6.151430231
CG33462	-5.732770132
CG3085	-5.640994484
zpg	-5.4992176
abd-A	-5.434858268
CR32661	-5.38932089
CG15721	-5.378684608
CR45972	-5.273440189
nos	-5.043659711
CG15169	-4.90026283
Vm26Aa	-4.583557256
CG32603	-4.575397679
Muc4B	-4.574445944
CG42395	-4.536494646
Spn38F	-4.175825168
Mst57Da	-4.166157505
CG15480	-4.160939311
eloF	-4.159643158
CG17192	-4.159643158
rpk	-4.131889968
Trf4-2	-4.043191108
CG43050	-4.043191108
snoRNA:Psi28S-3342	-4.036432688
CG10592	-4.031858472
Acp33A	-3.912950966
CG8093	-3.903190529
CG13033	-3.730342265
Acp36DE	-3.728565976
halo	-3.600968266
Spn28F	-3.589818377
sinah	-3.577464946
Acp98AB	-3.577464946
snoRNA:Or-aca5	-3.577464946
CG31002	-3.577464946
CG10814	-3.577464946
CG17377	-3.573768237
CR45997	-3.48523353
dsx-c73A	-3.469185986
CG5762	-3.390066364
CG3734	-3.381262693
ymp	-3.381262693
CG2127	-3.381262693
SPH93	-3.266910339
CG10357	-3.246218155
CG4757	-3.180061575
CG8420	-3.157991305
CG12998	-3.157991305
CG10073	-3.119288313
Cyp4g1	-3.098630202
CG6675	-2.97342339
nw	-2.966411356
Pxt	-2.943529768
Os-C	-2.922609117
CG9447	-2.91704484
Sox15	-2.90510659
scaRNA:MeU5-C46	-2.876066926
CR44613	-2.876066926
gwl	-2.86448373
CG42662	-2.808864653
a10	-2.803528744
CG32119	-2.794791371
Obp59a	-2.74168732
fzo	-2.61674328
CG9682	-2.583210885
S-Lap3	-2.582809237
CG18673	-2.582809237
CG15022	-2.582809237
CG10591	-2.582809237
CG43147	-2.582809237
CG3330	-2.582809237
pcl	-2.582809237
plu	-2.582809237
CR46137	-2.573800793
CG14607	-2.567464934
CG43355	-2.567464934
sala	-2.567464934
CG3457	-2.567464934
CG12861	-2.567464934
CG43149	-2.565546405
CG43920	-2.529400696
BicC	-2.520353744
CG45084	-2.520353744
CR45430	-2.493242461
Cp19	-2.478128172
