gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mthl8	480.4768205	0.058053091	0.140980633	0.411780608	0.680500236	0.942200864
Lsp1gamma	1.971752463	2.090230472	1.89265264	1.10439202	0.269423121	NA
Pdk1	668.3540417	-0.06472959	0.118393903	-0.546730773	0.58456371	0.909528005
CG6845	24.02472027	0.121281594	0.556131796	0.218080669	0.827366259	0.964127087
p130CAS	1346.522453	0.13777787	0.127363146	1.081771881	0.279353904	0.755068601
CG13875	38.54355468	-0.668249564	0.450873185	-1.482123103	0.138307543	0.574071033
Mtch	603.0519102	0.015339671	0.132779479	0.11552742	0.908027088	0.978816704
mri	462.0206326	-0.157667511	0.132372072	-1.191093469	0.233616893	0.709712465
NitFhit	165.6273931	-0.007847341	0.209359297	-0.03748265	0.970100173	0.993492766
CG13876	46.48857145	0.147419856	0.413073192	0.356885556	0.721177483	0.948496161
CG16940	175.9093936	-0.211873247	0.223497622	-0.947988824	0.343135144	0.799045717
Kaz1-ORFB	1008.510758	-0.141109475	0.136729083	-1.032037024	0.302054774	0.771065508
CG13877	1047.24311	-0.222007751	0.123437936	-1.798537449	0.07209188	0.425498187
CG33229	199.0397867	0.505033057	0.197128241	2.561951823	0.010408576	0.137649738
CR42862	8134.013496	-0.095376931	0.08434567	-1.130786335	0.258145033	0.735550874
mthl14	23.00706917	0.316668605	0.558527236	0.566970748	0.570734056	0.905823793
wac	55.15668803	0.105109665	0.39377069	0.266931155	0.789522169	0.958734826
mRpL17	196.4000731	-0.179481827	0.230164611	-0.779797671	0.435509977	0.848937988
miple1	5789.384678	-0.378463175	0.106984538	-3.537550228	0.000403857	0.013551985
miple2	121.1270699	-0.13884993	0.257687022	-0.538831677	0.590003004	0.909528005
RhoGEF3	550.8383228	0.006346436	0.1346604	0.047129195	0.962410259	0.991142585
Ptpmeg	1871.116063	0.001480374	0.115768968	0.012787312	0.989797479	0.99744631
CG1231	44.11925903	0.116342617	0.389916129	0.29837857	0.765414243	0.954639865
CG1233	127.5281622	-0.163842215	0.236756353	-0.6920288	0.488919243	0.874908119
CG17180	63.35660244	-0.273295761	0.303330677	-0.900982928	0.367597397	0.817752586
Hipk	2409.238315	0.099805955	0.085909723	1.161753897	0.245335446	0.724155049
MED14	190.89193	0.288800347	0.246719633	1.170560866	0.241775335	0.718784124
CR43334	424.5920746	-0.106916857	0.162776404	-0.656832651	0.511288527	0.885988006
Gale	602.9155119	0.489141684	0.151875853	3.220667901	0.001278923	0.03190184
Rev1	76.44618421	-0.19460482	0.273888187	-0.710526518	0.477377693	0.869934416
RabX6	251.2147125	-0.390141808	0.193668156	-2.014486097	0.043958523	0.332009314
CR44514	9.994193486	-0.590568755	0.74688791	-0.790706004	0.429115572	0.847048979
emc	3219.178027	0.159856759	0.123421375	1.295211292	0.19524735	0.660852102
CG42553	59.54132012	-0.303651862	0.317068198	-0.957686276	0.338220979	0.794969775
CG42554	192.7958173	-0.047482129	0.195240141	-0.2431986	0.807851551	0.962667159
CG13887	1132.129046	-0.133736527	0.097305774	-1.374394574	0.16931922	0.620118706
CG13890	286.0326361	-0.389328174	0.1666334	-2.336435397	0.019468561	0.207607291
CG12502	1024.623336	-0.100114821	0.126555432	-0.791074863	0.428900307	0.847048979
Usp10	411.0071405	0.455508981	0.160421644	2.839448412	0.00451916	0.079583569
CG34056	11.58953425	-0.775922919	0.765102998	-1.014141784	0.310515103	0.77870657
CG34057	34.01484988	1.360878963	0.471713077	2.88497188	0.003914486	0.072270676
Glut1	1457.63809	-0.640890524	0.120376033	-5.324070822	1.01E-07	1.26E-05
CG12038	197.1343762	-0.012761786	0.213008302	-0.059912154	0.952225599	0.988694631
CG9205	382.1190781	0.220977158	0.153228954	1.442137087	0.149263705	0.590308396
CG13912	72.79546222	0.1366999	0.325952521	0.419385926	0.674934108	0.940206034
Aplip1	2764.040177	-0.535030233	0.115059843	-4.650017054	3.32E-06	0.000280271
mwh	29.42959796	1.245494577	0.832899785	1.495371472	0.134817521	0.566431528
CG9194	2.454961045	1.54565139	1.651553938	0.935877027	0.349336506	0.804215573
Sac1	446.4717726	0.242288861	0.142518385	1.70005337	0.089120887	0.474237283
CG9130	0	NA	NA	NA	NA	NA
CG9133	0	NA	NA	NA	NA	NA
tfc	18.05632721	-0.021183459	0.646421177	-0.032770367	0.973857709	0.994283411
CG32333	1044.992435	-0.01225904	0.121537281	-0.1008665	0.919656437	0.982374739
Rabex-5	304.6532577	0.108856259	0.157127272	0.692790356	0.488441125	0.87478326
