gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mthl8	642.3380247	-0.734309508	0.133859428	-5.485676424	4.12E-08	4.56E-06
Lsp1gamma	474.4690418	4.338259794	0.33185286	13.07284136	4.71E-39	4.54E-36
Pdk1	1078.148868	-0.033619655	0.155548854	-0.216135663	0.828882002	0.997016825
CG6845	35.4038424	0.362162433	0.499564432	0.724956402	0.468478777	0.969272731
p130CAS	3204.751681	0.010474689	0.110811247	0.094527307	0.924690292	0.997504077
CG13875	47.80077996	0.346214342	0.362411164	0.955308158	0.339421883	0.944327202
Mtch	1522.791879	0.246415593	0.158765497	1.552072695	0.120644831	0.762050453
mri	1091.969072	-0.024790955	0.109496543	-0.226408564	0.820883668	0.997016825
NitFhit	324.823413	0.096519985	0.223921857	0.431043159	0.666436989	0.994541529
CG13876	86.90524801	0.122119631	0.276459963	0.441726278	0.658687292	0.994541529
CG16940	348.7883719	-0.317791197	0.188458998	-1.686261736	0.091745398	0.703460144
Kaz1-ORFB	664.6035706	-0.105533644	0.194315745	-0.543103929	0.587058247	0.991252853
CG13877	1934.780413	0.126522153	0.116369773	1.087242418	0.276929689	0.926858685
CG33229	306.5574913	-0.026912616	0.195612277	-0.137581428	0.890571234	0.997504077
CR42862	23061.09086	-0.150800264	0.090003685	-1.675489897	0.093838152	0.70495545
mthl14	47.73169945	0.339519423	0.388191959	0.874617352	0.381782143	0.950706013
wac	111.4132337	0.036138967	0.249831006	0.144653651	0.884984336	0.997504077
mRpL17	631.3819168	0.161372154	0.135999414	1.186565067	0.235399222	0.894839607
miple1	18077.39072	-0.054206811	0.097435892	-0.556333088	0.577983172	0.988829779
miple2	359.0844079	-0.039181907	0.169071446	-0.231747633	0.816734033	0.996926918
RhoGEF3	642.2297824	-0.108269532	0.16860248	-0.642158599	0.520770212	0.978975836
Ptpmeg	3363.233274	-0.208120209	0.114728453	-1.814024365	0.069673975	0.624829615
CG1231	93.21033899	0.077405192	0.277335824	0.279102753	0.78016597	0.996878686
CG1233	182.4986347	0.056567307	0.213279973	0.265225592	0.790835681	0.996878686
CG17180	175.8353481	0.140399861	0.260928542	0.538077821	0.590523323	0.991258051
Hipk	2984.410341	-0.326820434	0.184262572	-1.773666957	0.076118255	0.65022014
MED14	367.2628016	-0.081067018	0.176321056	-0.459769353	0.645681783	0.994541529
CR43334	459.6422452	-0.063536384	0.238969314	-0.265876749	0.790334133	0.996878686
Gale	998.7343621	0.601793501	0.156968916	3.833838664	0.000126159	0.006834466
Rev1	127.0075633	0.125215371	0.234820361	0.533238987	0.593868157	0.991902363
RabX6	649.0001253	-0.200352789	0.122862902	-1.630702066	0.102953201	0.724905228
CR44514	52.67015332	0.616035938	0.37428118	1.645917484	0.099780749	0.713624244
emc	4152.393053	0.2604388	0.163247365	1.59536296	0.110631094	0.740002754
CG42553	153.2991828	0.002798691	0.208897462	0.013397437	0.989310712	0.999294086
CG42554	400.4338775	0.289748122	0.159249195	1.819463655	0.068840723	0.622968169
CG13887	2243.521563	0.26471963	0.105850713	2.500877162	0.012388614	0.253453379
CG13890	628.0244453	0.637233767	0.136768329	4.659220246	3.17E-06	0.00027341
CG12502	2693.674498	-0.270978764	0.136122573	-1.990696758	0.046514235	0.523801493
Usp10	667.7749613	0.000512948	0.160560697	0.003194729	0.997450979	0.999976122
CG34056	34.74933071	1.101703629	0.467117179	2.358516617	0.018348138	0.327429466
CG34057	59.45328451	1.530907402	0.469423931	3.26124703	0.001109234	0.046187616
Glut1	2019.678457	-1.766629386	0.131181705	-13.46704088	2.44E-41	2.88E-38
CG12038	432.7449004	0.573393489	0.171303679	3.347233945	0.000816223	0.036616571
CG9205	823.3492317	0.229462799	0.120553379	1.903412427	0.056986751	0.585702071
CG13912	52.63696366	0.466991409	0.387528786	1.205049601	0.228184154	0.891366016
Aplip1	5675.43516	-0.566815049	0.10303886	-5.500983308	3.78E-08	4.22E-06
mwh	38.0115463	0.76581891	0.491537923	1.558005751	0.119231885	0.759681955
CG9194	2.241986952	0.643996402	1.852932902	0.347555166	0.728174282	0.996878686
Sac1	871.6240781	0.260780566	0.138339738	1.88507345	0.059419922	0.593979262
CG9130	0.215440383	1.076230099	4.048027086	0.26586534	0.790342919	0.996878686
CG9133	0.215440383	1.076230099	4.048027086	0.26586534	0.790342919	0.996878686
tfc	65.07227162	-0.063283341	0.314728567	-0.201072757	0.840641683	0.997316943
CG32333	3265.878756	0.073360437	0.10453183	0.701799987	0.482803907	0.971266515
Rabex-5	644.2369871	0.251128983	0.181867645	1.380833756	0.167330082	0.825086811
scf	6609.865643	-0.02748366	0.088713542	-0.309802306	0.756711298	0.996878686
CG9149	672.00272	0.270188228	0.134547811	2.008120573	0.044630481	0.516924035
CG2469	1464.577313	-0.041690218	0.135617418	-0.307410497	0.758530939	0.996878686
Sherpa	1713.718839	-0.152035217	0.0984406	-1.544436105	0.122482719	0.766000636
Myo61F	29.19047045	1.701980977	0.525090987	3.24130678	0.001189831	0.049158061
ND-ACP	2405.990429	0.172579731	0.115084962	1.499585409	0.13372183	0.782209514
msd1	2.053794027	4.178461209	2.102195545	1.987665334	0.046848715	0.526391174
l(3)02640	4307.011921	-0.087977208	0.090465743	-0.972491964	0.330805861	0.943736445
312	236.7614621	-0.163784043	0.175861559	-0.931323728	0.351686132	0.94703138
ru	95.61774689	-0.48488057	0.277009852	-1.750409112	0.080047745	0.658289596
rho	878.084079	-0.313939044	0.140596988	-2.232900205	0.025555526	0.391652715
Psa	2208.203234	-0.178592246	0.101568777	-1.758338059	0.078690006	0.657380393
pns	1895.182605	-0.085830568	0.111762805	-0.767970774	0.442504548	0.963995341
Cct1	9610.194593	-0.172749224	0.14318158	-1.206504519	0.227623018	0.891366016
Cct2	2100.760683	0.134435441	0.107442973	1.251225995	0.210852037	0.881737095
Pex10	65.95683762	0.173711791	0.299455723	0.580091738	0.561852755	0.986727184
CG12004	2294.824868	-0.051369579	0.118922783	-0.431957423	0.665772359	0.994541529
CG13917	5714.342575	-0.351206319	0.154598631	-2.27172981	0.023102835	0.373372751
CG33791	46.98368531	0.007781796	0.440271704	0.017674986	0.985898136	0.999294086
CG33230	22.06183816	0.239535548	0.577307561	0.414918432	0.678201616	0.995554059
ABCB7	1438.424035	-0.384425743	0.13588397	-2.829073525	0.004668297	0.134043025
Bgb	1542.573016	-0.346028221	0.111487571	-3.103738097	0.001910924	0.069478464
CG13919	648.4973306	0.091471625	0.134797137	0.6785873	0.497399392	0.973530003
CG13920	1488.624514	-0.038626893	0.11073648	-0.348818136	0.727225847	0.996878686
CG7970	602.5372676	0.771310097	0.155097435	4.973068047	6.59E-07	6.30E-05
CG7974	98.41753702	0.656863668	0.285893408	2.297582421	0.021585567	0.361834742
CG7991	729.7271162	-0.031976518	0.137317065	-0.23286631	0.81586522	0.996926918
CG12011	16.63928595	-0.626970231	0.716010074	-0.875644427	0.381223365	0.950286799
Gk2	296.7601934	-0.087421314	0.245078849	-0.356706891	0.721311247	0.996878686
CG13921	766.9043185	-0.045277098	0.133309847	-0.339638064	0.734129109	0.996878686
CG8001	281.2161713	0.101026675	0.189534914	0.533024087	0.594016907	0.991902363
CG12018	250.1268685	-0.11101812	0.213506857	-0.519974492	0.603081354	0.994291766
mRpL46	210.6059478	-0.039557226	0.201172259	-0.196633601	0.844114274	0.997408062
Cdc37	1069.853144	-0.018338532	0.128598991	-0.142602456	0.886604157	0.997504077
Patj	990.6261673	-0.073970537	0.116014052	-0.63759981	0.523734219	0.979021409
CG42676	302.6085395	0.008242959	0.168786358	0.048836645	0.961049479	0.998262761
GV1	219.738772	0.342185293	0.314291945	1.088749801	0.276264234	0.926858685
CG12024	1981.359801	0.078768301	0.114432719	0.68833723	0.491240442	0.971266515
CG12025	3550.167921	-0.107835169	0.096657556	-1.115641387	0.264575669	0.91729256
Tmhs	13.25225817	-0.107935311	0.693409358	-0.155658861	0.876301926	0.997504077
Dbx	73.62005746	0.41208099	0.290956441	1.416297881	0.156688308	0.81023829
Mfap1	449.7169712	-0.071466701	0.143197225	-0.499078814	0.617723862	0.994541529
Cnb	9.047265977	0.3787422	0.793305555	0.477422851	0.633061045	0.994541529
SCOT	173.0389527	0.245675649	0.226124096	1.086463822	0.277273838	0.92727358
CG1139	6.97441372	0.04155949	1.08696274	0.038234512	0.969500704	0.999294086
CG34259	15.42680741	1.146845235	1.965693041	0.58343048	0.559603544	0.98589445
CR42860	13.0413371	-0.400549288	0.729741225	-0.548892229	0.583079412	0.990404636
CG13810	48.46059869	4.799967548	0.721151146	6.65597992	2.81E-11	5.24E-09
CG8960	1.644020296	0.122424135	2.064400096	0.059302524	0.952711151	0.997973223
ACXD	29.56087293	-0.333341644	0.49880024	-0.668286857	0.503950501	0.978040007
CG2034	1490.265361	0.022497458	0.117413104	0.191609431	0.848048155	0.997408062
CG13807	222.6085913	0.212056037	0.184487765	1.149431434	0.250378125	0.907429465
CG13806	241.1006919	5.915816536	0.882696235	6.701984557	2.06E-11	3.97E-09
CG32302	99.99809592	2.571295306	1.080293477	2.3801822	0.01730408	0.315462753
yellow-g2	1.728924771	1.557329171	2.042791425	0.762353489	0.445849058	0.965291069
MsR2	434.1058255	0.069806792	0.155891583	0.447790644	0.654304296	0.994541529
MsR1	218.5965424	-0.008915374	0.191078887	-0.04665808	0.962785741	0.99880383
CG8993	1155.638151	0.170895832	0.124447081	1.373240989	0.169677441	0.829640343
CG9004	24.25862137	-0.155272444	0.630823178	-0.24614258	0.805571863	0.996878686
CG45186	1109.761989	-0.047936983	0.115668457	-0.414434356	0.678556033	0.995680517
CG1146	853.3863979	0.29336067	0.148233745	1.979041073	0.047811382	0.533818354
CR45170	27.47270772	-0.671049935	0.542966273	-1.235896166	0.216497162	0.888450908
RpL8	10096.24531	-0.095534448	0.121274238	-0.787755501	0.430839735	0.960507106
dos	552.3956989	-0.081756617	0.135427513	-0.603692819	0.546047889	0.98504777
CG16985	183.2621492	-0.123620062	0.237930702	-0.519563307	0.603367978	0.994291766
CG16986	171.2968446	0.226734911	0.230911738	0.981911588	0.326143406	0.943736445
MEP-1	1867.227811	-0.162112959	0.111662857	-1.45180738	0.146555171	0.798439441
CG42245	1865.368982	-0.160031004	0.111575256	-1.434287583	0.151490212	0.804533886
CG1143	103.1914195	0.185754036	0.315236166	0.58925357	0.555691186	0.985587819
CG1246	104.2942752	2.152681932	0.505173634	4.261271351	2.03E-05	0.001410648
CG42304	507.7188812	-0.112159576	0.135206631	-0.829541977	0.406797794	0.956447309
Acp62F	0.669097182	2.599369576	3.482116626	0.746491245	0.455370718	0.96590517
Non2	2734.183057	0.070014656	0.101122659	0.692373569	0.48870276	0.971266515
Atg2	54.76522429	-0.15471141	0.377785415	-0.409521925	0.68215668	0.996168289
mRpS35	216.602877	0.001763681	0.219608582	0.008031021	0.993592241	0.999569346
pgant6	196.8905126	0.38795781	0.205252284	1.890151004	0.058737767	0.59397868
Shab	7336.32557	0.033011773	0.115497623	0.285822096	0.775014383	0.996878686
Or63a	54.66105965	-0.174470393	0.383733911	-0.454665037	0.649350238	0.994541529
CPT2	233.0142736	0.500214267	0.230432869	2.170759185	0.029949381	0.423675547
FMRFaR	301.6852262	-0.056023424	0.161832503	-0.346181537	0.729206289	0.996878686
CG2162	766.4508864	-0.04358763	0.129849523	-0.335678011	0.737113689	0.996878686
Jafrac2	135.821815	-0.046702871	0.220938568	-0.211383968	0.832587666	0.997016825
Sk2	277.530571	-0.135947177	0.206463002	-0.658457815	0.510243995	0.978975836
CG32485	610.2058595	0.115575086	0.140029773	0.825360806	0.409166779	0.957372399
CG1271	158.3221706	0.457017697	0.248687484	1.837718925	0.066103834	0.615693426
CG16753	169.0832741	-0.024248517	0.265533792	-0.091319891	0.927238414	0.997504077
CG11486	5900.406976	0.028761278	0.13976158	0.205788156	0.836956393	0.997016825
snRNA:U5:63BC	39.74642438	-0.774328286	0.399356118	-1.938941839	0.052508421	0.560899809
CG1291	155.4228004	0.066749916	0.221310448	0.30161213	0.76294776	0.996878686
BtbVII	1278.675301	0.042633307	0.125658975	0.339277849	0.734400428	0.996878686
CG15812	406.7126946	-0.312098245	0.195527324	-1.596187374	0.110446966	0.740002754
CG32280	419.4072859	0.227575296	0.197599372	1.151700503	0.249444165	0.906616351
CG32278	1909.900516	0.072751356	0.103123235	0.705479769	0.480511718	0.970518668
CG32281	109.0240778	-0.165602143	0.256920406	-0.644565938	0.519208514	0.978975836
Girdin	951.0920571	0.000948104	0.119453137	0.007937038	0.993667226	0.999569346
CG42494	71.20321193	-0.169835731	0.29606449	-0.573644381	0.566208473	0.98677521
CG32284	15.65134909	-0.431038669	0.634878939	-0.67893049	0.497181906	0.973530003
Hsp83	4694.991268	-0.10709748	0.125319451	-0.854595832	0.392774936	0.951192345
gry	333.1316141	-0.138336016	0.174526782	-0.792634889	0.427990576	0.958478685
CG12034	1117.355807	-0.006188544	0.120311699	-0.051437591	0.958976831	0.998262761
CG17737	6471.933938	0.173293071	0.140749212	1.231218769	0.218241053	0.889392877
CG11505	961.3891969	-0.321570851	0.165750849	-1.940085701	0.052369275	0.559976804
ckd	59.57303033	0.007518505	0.410779718	0.018303009	0.985397127	0.999294086
CG34265	5.490982772	-0.436642497	1.498730879	-0.291341496	0.770790154	0.996878686
CG12017	0.430880766	1.971092651	3.990475939	0.493949263	0.621342012	0.994541529
ZnT63C	961.5592841	0.006673006	0.1434487	0.046518416	0.962897056	0.99880383
Drsl2	23.5929092	2.667634941	0.667097651	3.99886724	6.36E-05	0.003929053
Drsl3	9.253404575	4.406287977	1.457657669	3.02285514	0.002504021	0.084405373
Drsl4	30.01611819	0.493617475	0.599736552	0.82305718	0.410475478	0.957372399
Drsl5	192.8744402	-2.232876641	0.638309536	-3.498109482	0.000468569	0.022310596
CG12016	369.6826307	0.074467554	0.150450888	0.49496254	0.620626563	0.994541529
CG42456	369.6826307	0.074467554	0.150450888	0.49496254	0.620626563	0.994541529
PHGPx	3602.726853	0.08124491	0.089867257	0.904054635	0.365966432	0.947053134
CG14961	9.727363366	-0.271294277	0.964674022	-0.281228965	0.77853479	0.996878686
kst	47.20816363	0.596126603	0.392978307	1.516945318	0.129280491	0.772608292
Drs	2098.227242	-1.51888967	1.009237268	-1.504987694	0.13232724	0.781008914
CG12010	53.55707409	0.375385096	0.351185499	1.068908303	0.28511099	0.93033451
CG12012	1433.890302	0.156558468	0.150362584	1.041206289	0.297779817	0.935168048
CG12014	315.4501254	-0.146708471	0.166658898	-0.880291862	0.37870122	0.949281535
armi	92.33413111	-0.016088226	0.276442763	-0.058197313	0.953591461	0.997973223
CycJ	231.464369	0.291022957	0.225085425	1.292944476	0.196030264	0.86527372
CG42324	1931.373623	0.082081117	0.158502095	0.517855092	0.604559377	0.994291766
Eip63E	1167.363693	-0.098814594	0.143291097	-0.689607348	0.490441145	0.971266515
CG10359	65.08965631	-0.182027528	0.37253284	-0.488621429	0.625109739	0.994541529
CG10357	13.64270988	-3.246218155	0.82920414	-3.914860042	9.05E-05	0.005219939
dar1	204.6025627	0.260946696	0.285530594	0.913901003	0.360768867	0.94703138
CG43089	15.67223308	0.277726321	0.69291661	0.400807712	0.6885617	0.996878686
IntS10	108.7946453	0.199094709	0.254533744	0.782193768	0.434100706	0.962332147
CG12006	610.3451449	-0.147123852	0.159390532	-0.923040101	0.355986308	0.94703138
Scsalpha	5930.200442	0.073666638	0.09289473	0.793012029	0.427770815	0.958478685
enc	6054.507802	-0.141617888	0.125083368	-1.132187998	0.257555405	0.911350999
Rdh	35.33045423	-0.786520366	0.452185886	-1.739373983	0.081969002	0.662868894
Awh	70.42605951	-0.100465157	0.302159044	-0.332490983	0.739518547	0.996878686
Fie	2075.128554	0.112215068	0.107276475	1.046036123	0.295544355	0.934197206
CG14977	645.5890396	-0.009048321	0.147897688	-0.061179598	0.951216177	0.997973223
Sc2	1254.797961	0.131814516	0.152117437	0.866531268	0.386198887	0.951192345
ida	67.02076369	0.291801441	0.331498821	0.880248803	0.378724541	0.949281535
CR43916	24.07706579	-0.095103623	0.557202761	-0.170680459	0.864475029	0.997504077
CG14982	422.0162185	-0.134441923	0.150772222	-0.891688942	0.372559682	0.948381821
scrt	20038.62374	-0.204804055	0.10719641	-1.91054956	0.056062492	0.58131986
CG14985	156.4457481	0.686588949	0.219602798	3.126503643	0.001768983	0.065385868
Mul1	415.9621223	-0.250163495	0.148865326	-1.680468523	0.092866194	0.70495545
Rcd5	569.6526832	-0.040686267	0.150137474	-0.270993416	0.786396096	0.996878686
CG1136	23.18211543	0.761763174	0.719976435	1.058039037	0.290037645	0.93233523
dib	11.90839464	0.095535052	0.797225934	0.119834351	0.90461437	0.997504077
CG14989	17988.33699	-0.083972377	0.137328203	-0.611472187	0.540887026	0.984531977
Fit1	1255.885861	-0.080024808	0.115633866	-0.692053388	0.488903802	0.971266515
Ack	616.3629723	-0.037710027	0.133304545	-0.282886282	0.777264011	0.996878686
Ras64B	119.9048757	-0.234313082	0.259549605	-0.902768017	0.366649029	0.947053134
Akh	1367.917843	-0.644241056	0.221013522	-2.914939551	0.003557574	0.111050412
CG32260	3.70807861	-0.279411433	1.357222681	-0.20587	0.83689246	0.997016825
CG1299	113.4834119	0.027984068	0.2623661	0.106660381	0.915058415	0.997504077
Ero1L	876.5629652	0.24175843	0.158068254	1.529455936	0.126151455	0.770895282
CG18675	95.92880112	-0.415663084	0.287715564	-1.444701424	0.14854177	0.798439441
tipE	564.9883957	-0.141026919	0.145349817	-0.970258665	0.331917575	0.943736445
CG43367	1614.771383	-0.018446291	0.139418731	-0.132308559	0.894740238	0.997504077
Cpr64Ad	10.9409004	-0.591522898	0.728985916	-0.811432547	0.417117315	0.958317915
CG14997	184.8350515	0.16294327	0.24968591	0.652592971	0.514018718	0.978975836
pav	28.27008688	0.348456445	0.645818297	0.539558025	0.589501871	0.991258051
CG1265	1018.623295	0.231554274	0.128678569	1.799478151	0.071943077	0.636319468
CG1309	614.7130342	-0.046576305	0.15672005	-0.297194298	0.766318175	0.996878686
VhaM9.7-a	3711.062229	0.114393825	0.106818604	1.070916687	0.284206892	0.930194439
CG1311	1283.242179	-0.220926956	0.117347521	-1.88267254	0.059744759	0.593979262
CG1316	2750.490114	0.067053213	0.122179433	0.548809335	0.583136303	0.990404636
TfIIEbeta	426.2935514	0.036248818	0.151471561	0.239311047	0.8108644	0.996878686
Hexo1	229.5664387	0.701870019	0.183487362	3.825168176	0.000130683	0.006909272
Fdx2	1409.986723	0.004593494	0.112892229	0.040689199	0.967543672	0.999161516
Claspin	0.691873216	2.644510091	3.443305347	0.768014981	0.442478285	0.963995341
